feature_name,importance
upwind_stubble_quadrant_1d,0.12643389155789828
humidity_pct_roll_max_7d,0.1217792911913865
humidity_pct_roll_mean_3d,0.10899065240982349
humidity_pct_lag_1d,0.06771035545104284
pm25_roll_min_7d,0.05148560262207533
pm25_roll_mean_7d,0.039131197039902414
fire_hotspot_count_roll_mean_7d,0.03564645725567031
pm25_roll_mean_3d,0.035484386443790594
pm25_roll_max_7d,0.03540396853728767
ventilation_index_1d,0.03292832631052845
pm25_roll_mean_14d,0.03252790163080129
temperature_c_roll_mean_3d,0.0317178893807899
is_stubble_season,0.02447266930827905
pblh_roll_mean_3d,0.022757008404827014
pblh_min_1d,0.020323619485145918
wind_u_component_1d,0.02023676541413213
pblh_1d,0.018516477467197416
temperature_c_lag_1d,0.018463043733088432
pm25_lag_2d,0.018114630551853143
wind_speed_kmh_lag_1d,0.01807578860450275
pm25_lag_1d,0.016192860671226546
fire_hotspot_count_roll_mean_3d,0.015088894426924388
temperature_c_roll_min_3d,0.013027617242926313
washout_index_3d,0.012946693225873393
pm25_lag_7d,0.011697417760840965
pm25_lag_3d,0.010266763219840408
rainfall_3d,0.009883378217114519
wind_speed_kmh_roll_mean_3d,0.009382559605258432
wind_v_component_1d,0.006053898092307611
fire_hotspot_count_lag_1d,0.005705102044859432
pm25_roll_std_7d,0.004754618563629639
aod_550_1d,0.0027206040088706444
rainfall_1d,0.001119404528404387
rain_event_1d,0.0008673190629600848
festival_window,9.29465289402762e-05
