feature_name,tier,normalized_w1_distance,ks_statistic,ks_pvalue,standardized_mean_diff,q95_error,real_mean,synth_mean,real_std,synth_std,real_median,synth_median,real_iqr,synth_iqr,real_skew,synth_skew,real_kurt,synth_kurt,real_p95,synth_p95,real_p99,synth_p99
pm25_lag_1d,FAIL,0.5004263373601796,0.4781454505120716,8.064621088209599e-92,0.4570550091418461,0.22142724558125337,139.97103967168263,93.13598142490639,102.47138158427026,117.13386167411579,108.0,26.456243350235034,161.41,128.7024023536783,0.8209629103325004,1.4615712556150506,-0.5478864129848704,1.1955584853387853,344.41499999999996,344.6364272455812,378.33200000000005,452.93639760055646
pm25_lag_2d,FAIL,0.47356014922784395,0.46913644150306255,2.9072498021974623e-88,0.42894199317982395,1.788527542459292,139.93886456908348,96.00703605865547,102.41904315488786,118.91716526070138,108.0,28.553561834201695,161.41,132.37093443545095,0.8206658630593643,1.3991365582438697,-0.5472779076854692,0.9554757820835555,344.41499999999996,346.20352754245926,378.33200000000005,452.93639760055646
pm25_lag_3d,FAIL,0.4457169246696577,0.45832563069225174,4.229776971614255e-84,0.40013462146755174,2.605006394547047,140.06098495212038,99.02703423013699,102.5503631040109,120.62713665836655,108.0,30.122642391681254,161.66,140.61772152244157,0.8183006070018741,1.333810605114652,-0.556831699676013,0.7189625253921275,344.41499999999996,347.020006394547,378.33200000000005,452.93639760055646
pm25_lag_7d,FAIL,0.38489858228022433,0.44301031537693647,2.1352448231475096e-78,0.2934806611040862,16.517331379890265,139.83362517099863,109.85628696912768,102.14416884947369,127.55972574689174,108.0,35.018921314723215,161.66,176.064264949596,0.8131044730978363,1.105902904500891,-0.563740171479731,-0.019830083460814496,341.015,357.53233137989025,378.33200000000005,452.8535453058762
pm25_roll_mean_3d,FAIL,0.5508302285245997,0.5093097201168336,9.393549846861778e-105,0.4752544009942014,30.72053720746345,139.98304377564978,93.20999258683918,98.41687123983367,114.84883178049455,102.77333333333333,26.447613606618646,173.47,133.9057084836063,0.6728815095859919,1.4220237079231015,-0.9852075687946891,1.0305180211533163,315.96333333333337,346.6838705407968,346.9023333333335,449.9693060319522
pm25_roll_mean_7d,FAIL,0.5136273727405636,0.49339421500844216,5.0299478343170515e-98,0.42501706610216355,36.58181630420154,139.85110237118104,98.84923759772136,96.47110208888378,114.65452103618811,101.38714285714286,34.419838455868344,181.6757142857143,143.7381347415925,0.615747279921847,1.223630304022924,-1.153003115043772,0.38361259481541055,304.20142857142855,340.7832448756301,325.45742857142864,432.38954144093117
pm25_roll_mean_14d,FAIL,0.44644571874730554,0.49319333012903466,6.086672065935767e-98,0.35862400194078026,29.83160286316013,139.65631863937094,105.68790688971815,94.7187348471506,114.21046548531756,100.76928571428572,38.342481813211364,188.9967857142857,175.5915906813786,0.5871034797078257,0.9959434218636405,-1.2348953358391133,-0.1788938969570566,296.82785714285717,326.6594600060173,311.13607142857137,417.89625688015894
pm25_roll_std_7d,FAIL,0.32971828721454766,0.3310324003894456,2.730182645057512e-43,0.0014670070296512632,22.507854356800337,29.820738562033302,29.789492746227108,21.299022550438696,30.967237484339975,21.44170757681166,15.53535303288131,32.722618543878696,40.561186745289135,0.9810592654445006,1.3969864143997466,-0.0056822461822290116,1.5614262863468618,70.01756255522824,92.52541691202858,87.36959009573096,134.60790522073145
pm25_roll_max_7d,FAIL,0.41573282859343197,0.46509902515374474,1.0752539578449483e-86,0.32128771008272544,64.40780044340153,179.76393980848152,140.73855115595177,121.46555074416467,145.12759118612618,129.16,63.952840999694345,229.76,239.47827862873552,0.5958328925384779,0.9235419270082598,-1.1971555852636362,-0.48668773869185644,380.97,445.37780044340155,390.6,482.2670716648928
pm25_roll_min_7d,FAIL,0.663106996641124,0.5954954954954955,6.308090615311944e-146,0.5240187024290548,58.70584147730085,100.60424076607389,61.642465287135394,74.35187961485668,92.00776727074485,73.38,13.284678111786784,140.41500000000002,83.9669179773684,0.7280280262149077,1.7969363797540412,-0.7953688261879965,2.5424738137904344,228.61,287.31584147730086,268.68,346.20352754245926
temperature_c_lag_1d,FAIL,0.9861519257567655,0.4247260940831392,7.00139786614871e-72,0.9861519257567649,8.229546646369748,24.238714090287278,31.06428266494849,6.921416869336158,7.974708905142922,26.7,31.997731208154775,11.25,15.096040770866502,-0.4369257201460382,-0.18983918437494884,-1.0098485989069081,-1.3595350570307505,33.5,41.72954664636975,35.91000000000002,43.551371398543026
temperature_c_roll_mean_3d,FAIL,0.9931983497380503,0.43353421821274085,5.567904424282487e-75,0.9931983497380505,7.397771247093381,24.237368901048793,31.069894585507015,6.879316388574604,7.7212558363141826,26.9,31.28176303782444,11.283333333333328,15.519839401432826,-0.44968850081603334,-0.18292120362872868,-1.0393788074236736,-1.486819456499765,33.516666666666666,40.91443791376005,35.34666666666667,42.21703561036472
temperature_c_roll_min_3d,FAIL,0.8119921666815764,0.3989339544743101,3.199549945356231e-63,0.8119921666815768,7.583319998679194,23.487551299589605,29.05748796709585,6.859594089767246,7.933262621055087,26.1,28.912164797263525,11.05,15.736482877383107,-0.4668170341225315,-0.13412816442011513,-1.0196700951829,-1.4405527778014706,32.3,39.88331999867919,34.27,41.06982494576291
