fold,train_years,test_year,model_name,dataset_version,feature_set,num_features,test_mae,test_rmse,test_r2,test_medae,generalization_gap,train_r2,fitted_model
2,2020-2022,2023,XGBoost,v3,Candidate_A_V2_Baseline,147,27.792747209940867,37.48875155305426,0.8657716519745207,20.768153839111328,0.031318882827080174,0.8970905348016008,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.6, device=None, early_stopping_rounds=None,
             enable_categorical=True, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.05, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=2,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=150,
             n_jobs=-1, num_parallel_tree=None, ...)"
3,2020-2023,2024,XGBoost,v3,Candidate_A_V2_Baseline,147,27.26049110912886,37.41639785036819,0.8459262911478503,20.00628959655762,0.0475825201951533,0.8935088113430036,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.6, device=None, early_stopping_rounds=None,
             enable_categorical=True, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.05, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=2,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=150,
             n_jobs=-1, num_parallel_tree=None, ...)"
1,2020-2021,2022,Ridge,v3,Candidate_B_V3_Expanded,161,21.60215421677426,27.237138172655488,0.9186603205324562,18.26087254415407,0.030343109008514668,0.9490034295409708,"Pipeline(steps=[('scaler', StandardScaler()),
                ('regressor',
                 Ridge(alpha=24.658329458549105, random_state=42))])"
2,2020-2022,2023,Ridge,v3,Candidate_B_V3_Expanded,161,18.653723399345534,23.42479301293442,0.9475924552657706,15.497076207951864,-0.0035723441249974064,0.9440201111407732,"Pipeline(steps=[('scaler', StandardScaler()),
                ('regressor',
                 Ridge(alpha=24.658329458549105, random_state=42))])"
3,2020-2023,2024,Ridge,v3,Candidate_B_V3_Expanded,161,19.53667837756473,24.451729786448038,0.9342003228080948,16.535675104760152,0.012510301439141669,0.9467106242472365,"Pipeline(steps=[('scaler', StandardScaler()),
                ('regressor',
                 Ridge(alpha=24.658329458549105, random_state=42))])"
1,2020-2021,2022,ElasticNet,v3,Candidate_B_V3_Expanded,161,21.030925453625393,26.66261493357483,0.9220555871608965,18.245817675377694,0.025722712812034088,0.9477782999729306,"Pipeline(steps=[('scaler', StandardScaler()),
                ('regressor',
                 ElasticNet(alpha=0.1767016940294795,
                            l1_ratio=0.9056428757689245, max_iter=3000,
                            random_state=42))])"
2,2020-2022,2023,ElasticNet,v3,Candidate_B_V3_Expanded,161,18.164230126192027,23.040261229944353,0.9492989343898514,14.584789261149012,-0.007468418801761634,0.9418305155880897,"Pipeline(steps=[('scaler', StandardScaler()),
                ('regressor',
                 ElasticNet(alpha=0.1767016940294795,
                            l1_ratio=0.9056428757689245, max_iter=3000,
                            random_state=42))])"
3,2020-2023,2024,ElasticNet,v3,Candidate_B_V3_Expanded,161,19.620087725394477,24.477391592924725,0.9340621383403375,17.33263984448874,0.010431252175588157,0.9444933905159256,"Pipeline(steps=[('scaler', StandardScaler()),
                ('regressor',
                 ElasticNet(alpha=0.1767016940294795,
                            l1_ratio=0.9056428757689245, max_iter=3000,
                            random_state=42))])"
1,2020-2021,2022,RandomForest,v3,Candidate_B_V3_Expanded,161,17.913727922959875,23.21104972842995,0.9409297141106521,14.362664828780396,0.04305141382768596,0.983981127938338,"RandomForestRegressor(max_depth=9, max_features=0.7, min_samples_leaf=5,
                      min_samples_split=4, n_estimators=400, n_jobs=-1,
                      random_state=42)"
2,2020-2022,2023,RandomForest,v3,Candidate_B_V3_Expanded,161,16.103507569668288,20.60378732854239,0.9594550838555522,14.164325706681694,0.023720919515302752,0.983176003370855,"RandomForestRegressor(max_depth=9, max_features=0.7, min_samples_leaf=5,
                      min_samples_split=4, n_estimators=400, n_jobs=-1,
                      random_state=42)"
3,2020-2023,2024,RandomForest,v3,Candidate_B_V3_Expanded,161,17.084906978328355,21.7042387764881,0.948156572676793,13.663036156911822,0.03527363527447136,0.9834302079512643,"RandomForestRegressor(max_depth=9, max_features=0.7, min_samples_leaf=5,
                      min_samples_split=4, n_estimators=400, n_jobs=-1,
                      random_state=42)"
1,2020-2021,2022,XGBoost,v3,Candidate_B_V3_Expanded,161,18.673720741585512,24.087954154585834,0.9363820983235367,14.927310180664065,0.05654765363825709,0.9929297519617938,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.8, device=None, early_stopping_rounds=None,
             enable_categorical=True, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.04, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=4,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=250,
             n_jobs=-1, num_parallel_tree=None, ...)"
2,2020-2022,2023,XGBoost,v3,Candidate_B_V3_Expanded,161,16.092212713372216,21.265384446829167,0.9568094468012175,13.0836505126953,0.03160086017610497,0.9884103069773225,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.8, device=None, early_stopping_rounds=None,
             enable_categorical=True, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.04, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=4,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=250,
             n_jobs=-1, num_parallel_tree=None, ...)"
3,2020-2023,2024,XGBoost,v3,Candidate_B_V3_Expanded,161,17.512148898598927,22.710393339134285,0.9432384952966413,14.09926795959473,0.042727639122462246,0.9859661344191035,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.8, device=None, early_stopping_rounds=None,
             enable_categorical=True, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.04, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=4,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=250,
             n_jobs=-1, num_parallel_tree=None, ...)"
1,2020-2021,2022,Ridge,v3,Candidate_C_V3_Compact,35,20.532281021734377,26.287374057323042,0.9242340769280397,17.580473395648596,0.019907370256016743,0.9441414471840565,"Pipeline(steps=[('scaler', StandardScaler()),
                ('regressor', Ridge(alpha=17.71884735480682, random_state=42))])"
2,2020-2022,2023,Ridge,v3,Candidate_C_V3_Compact,35,17.936905532783314,22.61432345635364,0.9511561949762393,14.937161702284868,-0.011820240272346405,0.9393359547038929,"Pipeline(steps=[('scaler', StandardScaler()),
                ('regressor', Ridge(alpha=17.71884735480682, random_state=42))])"
3,2020-2023,2024,Ridge,v3,Candidate_C_V3_Compact,35,19.409533265755854,24.229250083611678,0.9353922625338636,16.994673096922483,0.007547507037940493,0.9429397695718041,"Pipeline(steps=[('scaler', StandardScaler()),
                ('regressor', Ridge(alpha=17.71884735480682, random_state=42))])"
1,2020-2021,2022,ElasticNet,v3,Candidate_C_V3_Compact,35,20.397730328597397,26.061398724369187,0.9255310980498987,17.178980921043006,0.0187153109864564,0.9442464090363551,"Pipeline(steps=[('scaler', StandardScaler()),
                ('regressor',
                 ElasticNet(alpha=0.1767016940294795,
                            l1_ratio=0.9056428757689245, max_iter=3000,
                            random_state=42))])"
2,2020-2022,2023,ElasticNet,v3,Candidate_C_V3_Compact,35,17.876135669436287,22.609749172257654,0.9511759526173986,14.386550451787372,-0.012175566563057516,0.9390003860543411,"Pipeline(steps=[('scaler', StandardScaler()),
                ('regressor',
                 ElasticNet(alpha=0.1767016940294795,
                            l1_ratio=0.9056428757689245, max_iter=3000,
                            random_state=42))])"
3,2020-2023,2024,ElasticNet,v3,Candidate_C_V3_Compact,35,19.542126810400053,24.334534825967737,0.9348295552290016,17.290492316135442,0.007549464909466064,0.9423790201384676,"Pipeline(steps=[('scaler', StandardScaler()),
                ('regressor',
                 ElasticNet(alpha=0.1767016940294795,
                            l1_ratio=0.9056428757689245, max_iter=3000,
                            random_state=42))])"
1,2020-2021,2022,RandomForest,v3,Candidate_C_V3_Compact,35,17.986229249175558,23.431146134464004,0.9398041468610454,14.116879526268008,0.04097008571955363,0.980774232580599,"RandomForestRegressor(max_depth=9, max_features=0.7, min_samples_leaf=5,
                      min_samples_split=4, n_estimators=400, n_jobs=-1,
                      random_state=42)"
2,2020-2022,2023,RandomForest,v3,Candidate_C_V3_Compact,35,16.059775520719594,20.407753834192395,0.960222937872998,13.189523558337058,0.019359363115332484,0.9795823009883304,"RandomForestRegressor(max_depth=9, max_features=0.7, min_samples_leaf=5,
                      min_samples_split=4, n_estimators=400, n_jobs=-1,
                      random_state=42)"
3,2020-2023,2024,RandomForest,v3,Candidate_C_V3_Compact,35,17.004425403873004,21.701486809394652,0.9481697187136142,14.036464350916162,0.03213090079936476,0.980300619512979,"RandomForestRegressor(max_depth=9, max_features=0.7, min_samples_leaf=5,
                      min_samples_split=4, n_estimators=400, n_jobs=-1,
                      random_state=42)"
1,2020-2021,2022,XGBoost,v3,Candidate_C_V3_Compact,35,18.266689084196745,24.18355075715985,0.9358761422595658,14.058184204101565,0.05366666674489973,0.9895428090044656,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.8, device=None, early_stopping_rounds=None,
             enable_categorical=True, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.04, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=4,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=250,
             n_jobs=-1, num_parallel_tree=None, ...)"
2,2020-2022,2023,XGBoost,v3,Candidate_C_V3_Compact,35,16.007620130147018,20.277628811116546,0.9607285779793895,12.812860412597658,0.023749152921425765,0.9844777309008153,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.8, device=None, early_stopping_rounds=None,
             enable_categorical=True, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.04, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=4,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=250,
             n_jobs=-1, num_parallel_tree=None, ...)"
3,2020-2023,2024,XGBoost,v3,Candidate_C_V3_Compact,35,16.918560402041578,21.966191793650967,0.9468976024308013,13.520528793334964,0.03502910449476104,0.9819267069255624,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.8, device=None, early_stopping_rounds=None,
             enable_categorical=True, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.04, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=4,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=250,
             n_jobs=-1, num_parallel_tree=None, ...)"
