trajectory_id,length,pm25_min,pm25_mean,pm25_max,pm25_std,season,dominant_regime
T001_L14_WIN,14,18.993065721718715,162.583380478438,312.92924324150533,110.45091490031075,Winter,Extreme
T002_L14_SUM,14,0.598561619649276,13.098411792414263,34.89839016304247,9.561573395785084,Summer,Moderate
T003_L14_MON,14,2.2024021126958915,17.583296420202803,72.0189367381486,19.352396780404362,Monsoon,Low
T004_L14_POS,14,38.501214284696744,98.02211349243557,142.5713542974069,32.44894560806761,Post-Monsoon,High
T005_L14_WIN,14,7.759377216943972,115.47588200799963,283.3864065734327,99.72949200316124,Winter,High
T006_L14_SUM,14,5.757653191002966,22.99266779022448,48.62042064165054,11.67723921146687,Summer,Moderate
T007_L14_MON,14,4.438776003370502,12.537777831071468,24.192427728610646,5.557792392079861,Monsoon,Low
T008_L14_POS,14,91.41353889533333,217.2206271284575,438.39669597225077,111.92957192909039,Post-Monsoon,High
T009_L14_WIN,14,5.8988106682441455,233.9686189117793,453.13576407239117,172.31061558102826,Winter,Extreme
T010_L14_SUM,14,0.4156928684483834,12.371879938100902,31.321676080649596,7.883112231203817,Summer,Moderate
T011_L14_MON,14,0.5353950074594493,14.066904992754479,50.18506517927263,12.988914190370581,Monsoon,Low
T012_L14_POS,14,204.33280359258714,415.63996746433384,497.29362435452,85.1964608921208,Post-Monsoon,Extreme
T013_L14_WIN,14,59.722249080685856,132.96318601839135,266.49450922303737,62.14018584500933,Winter,Extreme
T014_L14_SUM,14,0.5265027176553403,16.65531020922668,34.866562205351244,10.140501249547091,Summer,Moderate
T015_L14_MON,14,2.0573350828583408,16.268433130556925,30.531648030073562,8.183670911392097,Monsoon,Low
T016_L30_WIN,30,1.2559726190159424,98.85540825977692,351.70321130556124,102.77908525897188,Winter,High
T017_L30_SUM,30,1.0041222833264225,12.732104855355583,28.891364409128204,7.891618027372958,Summer,Low
T018_L30_MON,30,0.4778841194179684,11.179077440881514,24.41069561621869,5.780069682906625,Monsoon,Low
T019_L30_POS,30,122.77794704793985,266.463448702468,465.31908279001243,102.99949941856312,Post-Monsoon,Extreme
T020_L30_WIN,30,15.0,146.67001701794428,317.29688586991176,83.10499512182102,Winter,High
T021_L30_SUM,30,0.022940960397008325,12.482269620688418,25.54326497182067,6.990344240568131,Summer,Moderate
T022_L30_MON,30,0.5130968787754489,10.173609720165391,24.98867721860647,5.7302572928949385,Monsoon,Low
T023_L30_POS,30,78.71368944836254,230.65719341167105,466.0230123977847,92.58017031773453,Post-Monsoon,Extreme
T024_L30_WIN,30,1.1766037386488097,104.85080862863371,418.62936929257756,129.115343268382,Winter,High
T025_L30_SUM,30,2.208687107491777,17.528740466181315,62.423244450958606,15.608953932089698,Summer,Moderate
T026_L30_MON,30,2.9895135737622263,11.979032116034313,25.430907728149116,4.74394076793834,Monsoon,Low
T027_L30_POS,30,2.110171953890216,151.91658515432877,372.2618251024626,88.02416745302625,Post-Monsoon,High
T028_L30_WIN,30,0.31974619416460115,96.14405669938641,302.82885441651285,88.47651294076636,Winter,Extreme
T029_L30_SUM,30,0.015284704743240951,12.314686385076907,44.188279507938915,10.130551635543858,Summer,Moderate
T030_L30_MON,30,0.9679663528072844,12.733290210548269,33.39849893436653,6.7300617247728125,Monsoon,Low
T031_L90_WIN,90,4.63764650343089,116.14931160782768,372.77050738398253,88.97623982206844,Winter,Extreme
T032_L90_SUM,90,0.1733902195250856,15.178688869882624,46.57963352637394,10.106190537055491,Summer,Moderate
T033_L90_MON,90,0.689804457975427,12.245809932083338,75.22877206707632,11.552911448529743,Monsoon,Low
T034_L90_POS,90,14.225744921364608,166.2298892608419,453.9601686547539,110.34566576245817,Post-Monsoon,High
T035_L90_WIN,90,0.2459748387147478,174.25553311602062,482.2670716648928,140.7851601949046,Winter,Extreme
