trajectory_id,synthetic_date,rejection_reason,pm25,ventilation_index,precipitation,season,generator_seed,generator_version,phase_version
SYNTH_8B_batch_0003_00006,SYNTH-SYNTH_8B_batch_0003_00006-D012,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (4932.4 > 4500),341.0144248717433,4932.417467077191,0.0,Post-Monsoon,3440649250,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00006,SYNTH-SYNTH_8B_batch_0003_00006-D018,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (6709.1 > 4500),361.89381735164096,6709.128798151079,0.0,Post-Monsoon,3440649250,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00006,SYNTH-SYNTH_8B_batch_0003_00006-D025,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (6176.3 > 4500),372.22126711395333,6176.2906214063305,0.0,Post-Monsoon,3440649250,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00006,SYNTH-SYNTH_8B_batch_0003_00006-D026,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (7088.9 > 4500),297.1255624359263,7088.881871644659,0.0,Post-Monsoon,3440649250,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00010,SYNTH-SYNTH_8B_batch_0003_00010-D012,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (6214.6 > 4500),365.0911368337521,6214.559475838896,0.0,Post-Monsoon,540228110,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00010,SYNTH-SYNTH_8B_batch_0003_00010-D025,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (6454.8 > 4500),312.27840027091963,6454.755999445737,0.0,Post-Monsoon,540228110,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00010,SYNTH-SYNTH_8B_batch_0003_00010-D030,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (6610.9 > 4500),341.6529680232591,6610.88433101618,0.0,Post-Monsoon,540228110,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00014,SYNTH-SYNTH_8B_batch_0003_00014-D009,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (7447.6 > 4500),337.0914880974312,7447.634997168658,0.0,Post-Monsoon,4282032567,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00014,SYNTH-SYNTH_8B_batch_0003_00014-D010,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (7381.1 > 4500),292.9463503695404,7381.0712339780275,0.0,Post-Monsoon,4282032567,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00014,SYNTH-SYNTH_8B_batch_0003_00014-D018,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (7650.6 > 4500),336.8078228767509,7650.621370848452,0.0,Post-Monsoon,4282032567,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00017,SYNTH-SYNTH_8B_batch_0003_00017-D005,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (9882.7 > 4500),254.84709114880437,9882.74808662214,0.0,Winter,628793509,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00018,SYNTH-SYNTH_8B_batch_0003_00018-D023,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (6688.9 > 4500),310.2114032344417,6688.924174145481,0.0,Post-Monsoon,4150861332,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00018,SYNTH-SYNTH_8B_batch_0003_00018-D024,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (7596.1 > 4500),257.14236721581347,7596.081213713092,0.0,Post-Monsoon,4150861332,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00022,SYNTH-SYNTH_8B_batch_0003_00022-D005,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (7239.4 > 4500),250.24223396695731,7239.3672985022085,0.0,Post-Monsoon,1521677432,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00022,SYNTH-SYNTH_8B_batch_0003_00022-D011,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (6234.4 > 4500),358.9731918855577,6234.414690372817,0.0,Post-Monsoon,1521677432,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00022,SYNTH-SYNTH_8B_batch_0003_00022-D012,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (5950.7 > 4500),264.42041947046334,5950.726204290893,0.0,Post-Monsoon,1521677432,HP-STG-v1.0.0,Phase 8B v1.0.0
SYNTH_8B_batch_0003_00026,SYNTH-SYNTH_8B_batch_0003_00026-D008,EXTREME_TAIL_PHYSICAL_ENVIRONMENT_INCONSISTENCY: VI (6175.6 > 4500),408.03117590415053,6175.580453610354,0.0,Post-Monsoon,3683870355,HP-STG-v1.0.0,Phase 8B v1.0.0
