date,pm25,predicted_pm25,residual,abs_residual,caution_flag
2024-02-01,118.78,291.2057351418443,-172.42573514184429,172.42573514184429,attribution_caution_case_high_residual
2022-10-01,216.32,77.94457609489208,138.3754239051079,138.3754239051079,attribution_caution_case_high_residual
2020-02-01,133.72,266.1321941474014,-132.41219414740138,132.41219414740138,attribution_caution_case_high_residual
2022-12-22,389.87,261.960063944545,127.90993605545498,127.90993605545498,attribution_caution_case_high_residual
2024-11-06,388.9,261.7874648163836,127.11253518361639,127.11253518361639,attribution_caution_case_high_residual
2024-11-01,324.51,199.13140631003654,125.37859368996345,125.37859368996345,attribution_caution_case_high_residual
2020-11-01,362.87,239.683094325112,123.18690567488801,123.18690567488801,attribution_caution_case_high_residual
2022-02-03,144.14,264.82603386948904,-120.68603386948905,120.68603386948905,attribution_caution_case_high_residual
2023-10-01,174.18,59.65891846142693,114.52108153857307,114.52108153857307,attribution_caution_case_high_residual
2024-11-16,391.94,280.3423094517219,111.59769054827808,111.59769054827808,attribution_caution_case_high_residual
2023-02-01,164.87,273.6222208266954,-108.7522208266954,108.7522208266954,attribution_caution_case_high_residual
2021-10-01,181.47,72.84904007736156,108.62095992263843,108.62095992263843,attribution_caution_case_high_residual
2020-03-01,53.63,160.60705970794433,-106.97705970794433,106.97705970794433,attribution_caution_case_high_residual
2020-01-30,394.76,289.5542661445347,105.20573385546527,105.20573385546527,attribution_caution_case_high_residual
2021-02-03,158.08,263.09747125992357,-105.01747125992355,105.01747125992355,attribution_caution_case_high_residual
2023-11-02,393.07,289.8560144871906,103.21398551280942,103.21398551280942,attribution_caution_case_high_residual
2020-11-23,183.88,286.9221889059694,-103.0421889059694,103.0421889059694,attribution_caution_case_high_residual
2023-12-01,391.44,291.5444131741835,99.89558682581651,99.89558682581651,attribution_caution_case_high_residual
2022-01-17,188.72,288.3527393058315,-99.6327393058315,99.6327393058315,attribution_caution_case_high_residual
2022-01-03,390.95,292.01829521150063,98.93170478849936,98.93170478849936,attribution_caution_case_high_residual
2024-11-20,195.67,293.24828012450564,-97.57828012450565,97.57828012450565,attribution_caution_case_high_residual
2021-11-07,390.6,293.0642896298981,97.53571037010192,97.53571037010192,attribution_caution_case_high_residual
2024-12-02,196.45,292.6738358633608,-96.22383586336082,96.22383586336082,attribution_caution_case_high_residual
2020-12-24,191.02,285.90951279012654,-94.88951279012653,94.88951279012653,attribution_caution_case_high_residual
2023-02-02,127.79,222.37270389485465,-94.58270389485465,94.58270389485465,attribution_caution_case_high_residual
2022-11-02,355.74,261.74882827562664,93.99117172437337,93.99117172437337,attribution_caution_case_high_residual
2021-12-20,187.91,281.79266164360195,-93.88266164360195,93.88266164360195,attribution_caution_case_high_residual
2020-11-26,386.82,293.0400193174627,93.77998068253731,93.77998068253731,attribution_caution_case_high_residual
2023-11-30,389.59,295.9569006237111,93.6330993762889,93.6330993762889,attribution_caution_case_high_residual
2021-01-27,385.16,291.8553197557623,93.30468024423772,93.30468024423772,attribution_caution_case_high_residual
2020-01-19,190.64,283.9175806008646,-93.27758060086461,93.27758060086461,attribution_caution_case_high_residual
2024-01-10,382.03,290.4837986837015,91.5462013162985,91.5462013162985,attribution_caution_case_high_residual
2024-11-22,374.9,283.42913815183715,91.47086184816283,91.47086184816283,attribution_caution_case_high_residual
2021-01-17,190.56,281.95110387447096,-91.39110387447096,91.39110387447096,attribution_caution_case_high_residual
2020-12-10,376.55,285.6685125401109,90.88148745988912,90.88148745988912,attribution_caution_case_high_residual
2020-12-17,384.46,293.74915239147305,90.71084760852693,90.71084760852693,attribution_caution_case_high_residual
2023-01-02,381.49,291.6336423162453,89.85635768375471,89.85635768375471,attribution_caution_case_high_residual
2022-12-30,383.61,294.22907869857966,89.38092130142036,89.38092130142036,attribution_caution_case_high_residual
2020-12-02,198.6,287.92908732133793,-89.32908732133794,89.32908732133794,attribution_caution_case_high_residual
2024-10-01,138.22,49.55338928099375,88.66661071900626,88.66661071900626,attribution_caution_case_high_residual
2024-01-16,202.84,291.4058071677383,-88.56580716773831,88.56580716773831,attribution_caution_case_high_residual
2024-11-18,196.03,284.396045979009,-88.36604597900899,88.36604597900899,attribution_caution_case_high_residual
2021-12-10,380.97,292.6444189325451,88.32558106745495,88.32558106745495,attribution_caution_case_high_residual
2022-12-31,199.18,287.3074644764133,-88.12746447641331,88.12746447641331,attribution_caution_case_high_residual
2022-01-16,381.91,293.7914379698939,88.11856203010615,88.11856203010615,attribution_caution_case_high_residual
2021-12-04,195.63,283.0996681158001,-87.46966811580012,87.46966811580012,attribution_caution_case_high_residual
2024-12-20,366.69,279.2585845791257,87.43141542087432,87.43141542087432,attribution_caution_case_high_residual
2021-12-19,379.87,292.5126224108536,87.35737758914638,87.35737758914638,attribution_caution_case_high_residual
2023-11-09,200.48,287.8076362808374,-87.32763628083742,87.32763628083742,attribution_caution_case_high_residual
2024-03-02,85.88,172.97319018342833,-87.09319018342833,87.09319018342833,attribution_caution_case_high_residual
2024-11-14,368.72,281.7097632630156,87.01023673698444,87.01023673698444,attribution_caution_case_high_residual
2020-01-18,378.5,291.6779841439382,86.8220158560618,86.8220158560618,attribution_caution_case_high_residual
2021-12-06,196.23,282.6471253221127,-86.4171253221127,86.4171253221127,attribution_caution_case_high_residual
2020-11-19,201.28,287.67734988520084,-86.39734988520084,86.39734988520084,attribution_caution_case_high_residual
2022-12-14,369.12,282.8018794221664,86.31812057783361,86.31812057783361,attribution_caution_case_high_residual
2022-11-11,198.79,284.39461737821574,-85.60461737821575,85.60461737821575,attribution_caution_case_high_residual
2021-11-03,366.71,281.2303382726481,85.47966172735187,85.47966172735187,attribution_caution_case_high_residual
2020-11-25,377.94,293.12732438497795,84.81267561502204,84.81267561502204,attribution_caution_case_high_residual
2021-12-26,375.34,290.5983744463155,84.74162555368446,84.74162555368446,attribution_caution_case_high_residual
2024-11-17,364.7,280.1027252673114,84.59727473268856,84.59727473268856,attribution_caution_case_high_residual
2020-11-13,371.52,287.34604889324424,84.17395110675574,84.17395110675574,attribution_caution_case_high_residual
2021-11-24,376.7,292.5440429328397,84.15595706716027,84.15595706716027,attribution_caution_case_high_residual
2021-12-23,205.28,289.37595003143,-84.09595003143002,84.09595003143002,attribution_caution_case_high_residual
2024-11-26,208.32,292.18181749016713,-83.86181749016714,83.86181749016714,attribution_caution_case_high_residual
2022-12-28,204.21,287.98353974297106,-83.77353974297105,83.77353974297105,attribution_caution_case_high_residual
2023-01-23,371.63,288.33474762809857,83.29525237190143,83.29525237190143,attribution_caution_case_high_residual
2020-11-15,198.91,282.1617848374862,-83.25178483748621,83.25178483748621,attribution_caution_case_high_residual
2020-12-06,372.63,289.5276337395842,83.1023662604158,83.1023662604158,attribution_caution_case_high_residual
2021-01-05,203.11,285.93454003127516,-82.82454003127515,82.82454003127515,attribution_caution_case_high_residual
2024-12-30,368.27,286.05032138175125,82.21967861824874,82.21967861824874,attribution_caution_case_high_residual
2022-11-08,371.31,289.2181601642006,82.09183983579942,82.09183983579942,attribution_caution_case_high_residual
2021-12-29,205.57,287.65817876313446,-82.08817876313447,82.08817876313447,attribution_caution_case_high_residual
2023-11-03,196.21,277.4664271985984,-81.2564271985984,81.2564271985984,attribution_caution_case_high_residual
2020-12-23,369.63,288.43510652460367,81.19489347539633,81.19489347539633,attribution_caution_case_high_residual
2023-01-07,377.39,296.3392476800354,81.0507523199646,81.0507523199646,attribution_caution_case_high_residual
2022-12-08,196.62,277.62994679074126,-81.00994679074125,81.00994679074125,attribution_caution_case_high_residual
2023-11-05,373.56,292.86071666201553,80.69928333798447,80.69928333798447,attribution_caution_case_high_residual
2021-01-09,370.44,289.74994925553125,80.69005074446875,80.69005074446875,attribution_caution_case_high_residual
2024-11-04,184.65,265.2618900232733,-80.61189002327328,80.61189002327328,attribution_caution_case_high_residual
2020-01-09,199.65,279.7863179412769,-80.13631794127687,80.13631794127687,attribution_caution_case_high_residual
2020-10-01,130.01,49.8791777280862,80.13082227191379,80.13082227191379,attribution_caution_case_high_residual
2023-11-18,373.14,293.8692536726519,79.27074632734809,79.27074632734809,attribution_caution_case_high_residual
2022-12-12,361.03,282.1496165037284,78.88038349627158,78.88038349627158,attribution_caution_case_high_residual
2020-01-14,369.9,291.06187320974345,78.83812679025652,78.83812679025652,attribution_caution_case_high_residual
2021-11-04,203.23,281.8493704337668,-78.61937043376682,78.61937043376682,attribution_caution_case_high_residual
2022-11-10,366.71,288.17045305272825,78.53954694727173,78.53954694727173,attribution_caution_case_high_residual
2024-01-14,370.8,292.4241399618341,78.37586003816591,78.37586003816591,attribution_caution_case_high_residual
2020-12-13,364.21,285.84856044190366,78.36143955809632,78.36143955809632,attribution_caution_case_high_residual
