event_id,event_start,event_end,duration_days,peak_date,peak_pm25,mean_pm25,biomass_burning_shap,meteorology_shap,wind_ventilation_shap,pm25_persistence_shap,dominant_attribution_group,mean_fire_hotspots,mean_wind_speed_kmh
EVT_001,2020-01-10,2020-01-12,3,2020-01-11,335.83,328.6366666666667,-0.23424400747907578,3.623644051093032,1.1527165989554944,139.88691243747508,pm25_persistence,22.666666666666668,14.5
EVT_002,2020-01-14,2020-01-14,1,2020-01-14,369.9,369.9,-0.4474954742947153,4.583287457279929,1.6513346183093451,142.11221426758658,pm25_persistence,10.0,19.3
EVT_003,2020-01-17,2020-01-18,2,2020-01-18,378.5,356.185,-0.3632390274780084,3.3820053827465832,1.8486296793804975,143.14370921387066,pm25_persistence,23.5,10.5
EVT_004,2020-01-23,2020-01-23,1,2020-01-23,347.3,347.3,-0.7417657512848227,1.1670813100984545,1.9051069172866864,141.8121847955647,pm25_persistence,25.0,15.1
EVT_005,2020-01-26,2020-01-26,1,2020-01-26,338.25,338.25,-0.8901591432872887,1.927641776164492,0.8528330730066603,141.74518179948396,pm25_persistence,16.0,9.8
EVT_006,2020-01-28,2020-01-30,3,2020-01-30,394.76,350.34,-0.8285593777812843,3.3326030785046696,0.45209402629087764,143.45084220022784,pm25_persistence,27.333333333333332,15.866666666666665
EVT_007,2020-11-01,2020-11-01,1,2020-11-01,362.87,362.87,22.26570944680784,4.708292569408736,5.052535402688564,64.49402456534425,pm25_persistence,284.0,16.5
EVT_008,2020-11-03,2020-11-03,1,2020-11-03,332.54,332.54,9.023429809981888,1.92104868134104,1.797364163409536,128.75212684966132,pm25_persistence,311.0,17.7
EVT_009,2020-11-05,2020-11-05,1,2020-11-05,366.43,366.43,9.991806340007566,1.9120243220062776,3.107916437941067,131.43466248123372,pm25_persistence,651.0,13.4
EVT_010,2020-11-11,2020-11-14,4,2020-11-13,371.52,343.9,5.693436847855992,-1.0622791946924055,2.0062976063684426,138.99802080620861,pm25_persistence,270.5,10.175
EVT_011,2020-11-17,2020-11-17,1,2020-11-17,338.52,338.52,5.529931246502067,0.5953768075117607,2.057965750280316,140.16590263239874,pm25_persistence,595.0,16.9
EVT_012,2020-11-20,2020-11-20,1,2020-11-20,319.78,319.78,5.668453533481176,0.4802968531667042,2.814152420677326,134.9770641928554,pm25_persistence,355.0,9.5
EVT_013,2020-11-24,2020-11-27,4,2020-11-26,386.82,357.475,5.719176112357699,0.7889902379261595,1.9146685056692778,140.29180917039136,pm25_persistence,427.5,12.325
EVT_014,2020-11-29,2020-11-29,1,2020-11-29,323.98,323.98,4.532240855713634,0.7024392115617285,0.5188795833636903,138.29003708722098,pm25_persistence,12.0,14.9
EVT_015,2020-12-01,2020-12-01,1,2020-12-01,364.62,364.62,4.3763496299525375,1.1168236859194771,1.7726657448634562,140.38062399305187,pm25_persistence,9.0,10.7
EVT_016,2020-12-03,2020-12-04,2,2020-12-03,351.96,345.085,3.883375166743046,1.03105038075427,1.8788554156844026,139.15789284267674,pm25_persistence,25.0,12.2
EVT_017,2020-12-06,2020-12-06,1,2020-12-06,372.63,372.63,3.7390516218285472,0.7417187234571969,1.6949911857600997,140.18933986767587,pm25_persistence,17.0,11.9
EVT_018,2020-12-08,2020-12-08,1,2020-12-08,322.8,322.8,3.487620359846148,0.7580395958463773,1.7582645317174457,139.68923911375938,pm25_persistence,15.0,12.1
EVT_019,2020-12-10,2020-12-10,1,2020-12-10,376.55,376.55,2.9334547233012334,-1.2919481104126942,1.6190826960388125,139.24539089032126,pm25_persistence,19.0,9.7
EVT_020,2020-12-13,2020-12-14,2,2020-12-13,364.21,361.265,0.4759427734726216,0.24565050632595875,1.9566042172817681,142.70205665793875,pm25_persistence,31.0,13.95
EVT_021,2020-12-17,2020-12-19,3,2020-12-17,384.46,339.1433333333333,0.3485087340793675,1.9882021289425318,2.05369488142751,144.20263939722398,pm25_persistence,15.0,16.766666666666666
EVT_022,2020-12-22,2020-12-23,2,2020-12-23,369.63,338.39,-0.8804305375393924,0.7416643334148185,1.767734735807632,144.45176048160724,pm25_persistence,20.0,10.4
EVT_023,2020-12-26,2020-12-26,1,2020-12-26,333.16,333.16,-0.6014668754896971,0.4567225793145206,1.29784404364991,142.04464624036834,pm25_persistence,22.0,14.5
EVT_024,2020-12-31,2020-12-31,1,2020-12-31,328.42,328.42,-0.5076251266691416,1.1524467911458776,-0.4856903933256245,145.86212440972648,pm25_persistence,32.0,12.8
EVT_025,2021-01-02,2021-01-02,1,2021-01-02,350.83,350.83,-1.6418252355299658,1.1597991809373325,1.1713249296035444,144.64364613944838,pm25_persistence,21.0,9.1
EVT_026,2021-01-06,2021-01-06,1,2021-01-06,362.63,362.63,-0.4605274306361929,1.7925897402782656,0.4743777761932579,145.2271367930582,pm25_persistence,25.0,14.2
EVT_027,2021-01-08,2021-01-09,2,2021-01-09,370.44,368.40999999999997,-0.45967262151615906,2.8183121503086213,0.014411681079008976,144.23704011444255,pm25_persistence,23.0,11.2
EVT_028,2021-01-13,2021-01-13,1,2021-01-13,316.01,316.01,-0.5755900078048432,3.9783962108493234,-1.1069356114932574,145.83752307092342,pm25_persistence,16.0,17.6
EVT_029,2021-01-15,2021-01-16,2,2021-01-15,351.9,329.595,-0.303924913509204,4.2288009508251605,-1.0679091577454283,144.70455353704168,pm25_persistence,17.0,10.600000000000001
EVT_030,2021-01-20,2021-01-20,1,2021-01-20,323.49,323.49,-0.5028519291209255,3.71307924086145,-0.2784782974474545,144.33972960826094,pm25_persistence,29.0,13.3
EVT_031,2021-01-22,2021-01-23,2,2021-01-22,365.01,348.705,-0.648659879348862,4.154199880775349,-1.1008959510190468,143.42404452894266,pm25_persistence,17.5,16.2
EVT_032,2021-01-26,2021-01-27,2,2021-01-27,385.16,377.125,-0.3776995363290089,5.381060590480686,-0.24904002675040005,144.1813769495266,pm25_persistence,15.0,11.95
EVT_033,2021-01-30,2021-01-30,1,2021-01-30,307.13,307.13,-1.239708925588631,2.6154630005812627,-1.4394661541613758,140.0066188433188,pm25_persistence,16.0,16.9
EVT_034,2021-11-03,2021-11-03,1,2021-11-03,366.71,366.71,6.098871172876379,1.3344787408696503,-0.252637397302517,130.88709341534215,pm25_persistence,157.0,14.7
EVT_035,2021-11-05,2021-11-07,3,2021-11-07,390.6,354.30999999999995,6.069101878746422,0.7837826109072031,0.40560124929997937,139.1812775429168,pm25_persistence,299.0,13.133333333333333
EVT_036,2021-11-17,2021-11-24,8,2021-11-24,376.7,342.77875,5.326431785241093,1.289014474461843,1.7164015991828077,141.99364200406845,pm25_persistence,260.875,11.925
EVT_037,2021-11-26,2021-11-26,1,2021-11-26,317.79,317.79,5.61939785566246,-1.8271087012540244,1.8908141155867884,135.93384922734478,pm25_persistence,603.0,8.7
EVT_038,2021-12-01,2021-12-01,1,2021-12-01,318.5,318.5,4.628556927396635,-3.09726766441815,2.655494690741347,137.94290279754148,pm25_persistence,30.0,14.7
EVT_039,2021-12-05,2021-12-05,1,2021-12-05,317.5,317.5,13.555245535012055,1.2839490312001294,4.570883494580039,120.786592346218,pm25_persistence,6.0,9.8
EVT_040,2021-12-09,2021-12-10,2,2021-12-10,380.97,344.21500000000003,3.42718002912225,1.7166856698103587,2.854743099662414,140.38959038768655,pm25_persistence,19.0,10.1
EVT_041,2021-12-13,2021-12-13,1,2021-12-13,330.51,330.51,1.7393781331390068,0.9003079796698594,1.97651891684488,139.99791221879858,pm25_persistence,13.0,8.0
EVT_042,2021-12-19,2021-12-19,1,2021-12-19,379.87,379.87,-0.1169295882603411,1.499682370037547,2.174665021457295,145.79267226675677,pm25_persistence,29.0,22.0
EVT_043,2021-12-24,2021-12-28,5,2021-12-26,375.34,340.57399999999996,-0.6962600073062829,0.9907051339144708,2.0729439209215426,144.05118520250517,pm25_persistence,16.0,11.52
EVT_044,2021-12-30,2021-12-31,2,2021-12-30,318.36,314.135,-0.5658282745304797,1.3312593278274316,1.777353989027943,142.61743784381548,pm25_persistence,20.0,13.15
